TS,HA,Error,
132.0,8.0,-0.16687048749825095,
132.0,7.0,-0.16687048749825095,
132.0,6.0,-0.16687048749825095,
132.0,5.0,-0.16687048749825095,
132.0,4.0,-0.16687048749825095,
132.0,3.0,-0.16687048749825095,
132.0,2.0,-0.16687048749825095,
132.0,1.0,-0.16687048749825095,
132.0,0.0,-0.16687048749825095,
133.0,10.0,1.468978212032848,
133.0,9.0,-1.9055934025368693,
133.0,8.0,-0.05226792996210605,
133.0,7.0,0.4481295125017475,
133.0,6.0,-0.05226792996210605,
133.0,5.0,0.4481295125017475,
133.0,4.0,-0.05226792996210605,
133.0,3.0,0.4481295125017475,
133.0,2.0,-0.05226792996210605,
133.0,1.0,0.4481295125017475,
133.0,0.0,-0.05226792996210605,
134.0,10.0,0.6737689342435225,
134.0,9.0,-1.1765287227846386,
134.0,8.0,-0.38226666325015657,
134.0,7.0,-0.38226666325015657,
134.0,6.0,-0.38226666325015657,
134.0,5.0,-0.38226666325015657,
134.0,4.0,-0.38226666325015657,
134.0,3.0,-0.38226666325015657,
134.0,2.0,-0.38226666325015657,
134.0,1.0,-0.38226666325015657,
134.0,0.0,-0.38226666325015657,
135.0,10.0,-0.09830378153615271,
135.0,9.0,-0.8981758899321477,
135.0,8.0,-2.7129940020686476,
135.0,7.0,-0.1631758899321447,
135.0,6.0,-0.1631758899321447,
135.0,5.0,-0.1631758899321447,
135.0,4.0,-0.1631758899321447,
135.0,3.0,-0.1631758899321447,
135.0,2.0,-0.1631758899321447,
135.0,1.0,-0.1631758899321447,
135.0,0.0,-0.1631758899321447,
136.0,10.0,-0.033161119295854746,
136.0,9.0,-0.8205528544771852,
136.0,8.0,0.7218241100678569,
136.0,7.0,-0.060552854477183615,
136.0,6.0,-0.060552854477183615,
136.0,5.0,-0.060552854477183615,
136.0,4.0,-0.060552854477183615,
136.0,3.0,-0.060552854477183615,
136.0,2.0,-0.060552854477183615,
136.0,1.0,-0.060552854477183615,
136.0,0.0,-0.060552854477183615,
137.0,10.0,-0.027587019980881422,
137.0,9.0,-0.6606187061070656,
137.0,8.0,-0.8566482198558454,
137.0,7.0,-0.13342053653382635,
137.0,6.0,-0.13342053653382635,
137.0,5.0,-0.13342053653382635,
137.0,4.0,-0.13342053653382635,
137.0,3.0,-0.13342053653382635,
137.0,2.0,-0.13342053653382635,
137.0,1.0,-0.13342053653382635,
137.0,0.0,-0.13342053653382635,
138.0,10.0,1.259477080762231,
138.0,9.0,-0.12815528347249838,
138.0,8.0,0.5795616742769134,
138.0,7.0,0.5795616742769134,
138.0,6.0,0.5795616742769134,
138.0,5.0,0.5795616742769134,
138.0,4.0,0.5795616742769134,
138.0,3.0,0.5795616742769134,
138.0,2.0,0.5795616742769134,
138.0,1.0,0.5795616742769134,
138.0,0.0,0.5795616742769134,
139.0,10.0,1.1525779819257629,
139.0,9.0,-0.07655467028336815,
139.0,8.0,-0.16460395912034187,
139.0,7.0,-0.16460395912034187,
139.0,6.0,-0.14904531363195872,
139.0,5.0,-0.14904531363195872,
139.0,4.0,-0.14904531363195872,
139.0,3.0,-0.14904531363195872,
139.0,2.0,-0.14904531363195872,
139.0,1.0,-0.14904531363195872,
139.0,0.0,-0.14904531363195872,
140.0,10.0,1.4854432333879117,
140.0,9.0,-0.8633422828726545,
140.0,8.0,-0.05466534410162183,
140.0,7.0,-0.05466534410162183,
140.0,6.0,-0.094045313631959,
140.0,5.0,-0.094045313631959,
140.0,4.0,-0.094045313631959,
140.0,3.0,-0.094045313631959,
140.0,2.0,-0.094045313631959,
140.0,1.0,-0.094045313631959,
140.0,0.0,-0.094045313631959,
141.0,10.0,1.320393865531777,
141.0,9.0,-1.9955934025368691,
141.0,8.0,-1.7531552834724948,
141.0,7.0,-0.04187048749825095,
141.0,6.0,-0.04187048749825095,
141.0,5.0,-0.04187048749825095,
141.0,4.0,-0.04187048749825095,
141.0,3.0,-0.04187048749825095,
141.0,2.0,-0.04187048749825095,
141.0,1.0,-0.04187048749825095,
141.0,0.0,-0.04187048749825095,
142.0,10.0,1.3404370157679537,
142.0,9.0,0.126511256398409,
142.0,8.0,0.14626093893594572,
142.0,7.0,0.7599100393292275,
142.0,6.0,1.6508202351663002,
142.0,5.0,1.6508202351663002,
142.0,4.0,1.6508202351663002,
142.0,3.0,1.6508202351663002,
142.0,2.0,1.6508202351663002,
142.0,1.0,1.6508202351663002,
142.0,0.0,1.6508202351663002,
143.0,10.0,1.4292302680294853,
